"map.tr","map.ts","bma.tr","bma.ts","bay.tr","bay.ts","hc.tr","hc.ts","fast.iamb.tr","fast.iamb.ts","inter.iamb.tr","inter.iamb.ts","iamb.fdr.tr","iamb.fdr.ts","mmpc.tr","mmpc.ts","si.hiton.pc.tr","si.hiton.pc.ts","hpc.tr","hpc.ts","mmhc.tr","mmhc.ts","rsmax2.tr","rsmax2.ts","h2pc.tr","h2pc.ts","chow.liu.tr","chow.liu.ts","aracne.tr","aracne.ts"
-98203.8551,-97654.1592,-97623.565,-97628.0404,-97739.6618,-97740.8577,-98551.2419,-98111.0014,-99472.3362,-99122.0168,-99481.9056,-99107.7997,-99651.2703,-99244.3254,-99427.143,-99072.8743,-99405.949,-99067.2854,-99267.7336,-98649.2477,-99381.3062,-99015.4953,-99363.6883,-99022.8178,-98631.7076,-98178.3822,-98959.7539,-98562.6509,-104674.5376,-104434.314
-98206.3375,-97431.9916,-96967.1466,-97130.0105,-97507.4975,-97516.3049,-98520.765,-97835.098,-99495.904,-98967.0368,-99560.462,-99006.5653,-99575.3359,-99063.6043,-99662.6498,-99132.2426,-99413.9855,-98898.5825,-99633.3888,-98921.1846,-99463.2678,-98936.7114,-99330.142,-98812.2934,-98575.0787,-97929.4079,-98859.7061,-98302.0607,-103661.0537,-102986.5079
-98086.2863,-97828.0001,-97759.663,-97571.1492,-97910.7594,-97914.6355,-98517.3003,-98318.3853,-99864.1169,-99993.6284,-99977.8458,-100135.7111,-99782.2416,-99915.7302,-99309.4713,-99444.0098,-99348.3905,-99431.0327,-99647.6819,-99475.7923,-99189.7858,-99319.6851,-99169.0689,-99286.2954,-98550.8099,-98361.7603,-98857.5605,-98802.4138,-103862.1575,-104316.1184
-98318.7684,-97781.8779,-97657.1613,-97713.4525,-97860.0461,-97865.3143,-98736.8278,-98237.205,-100884.8153,-100403.5225,-100792.3524,-100306.2222,-99742.5754,-99366.6766,-99669.5983,-99293.9596,-100163.8751,-99816.8592,-99562.2642,-98883.944,-99561.1017,-99176.0015,-99532.5031,-99161.9094,-98791.4805,-98337.7337,-99105.9225,-98712.4366,-104257.4317,-103926.9629
-97793.8417,-97278.0269,-97168.6111,-97176.9124,-97366.5557,-97368.2012,-98207.8321,-97649.6637,-99243.9975,-98808.614,-99182.5251,-98730.2331,-99235.0765,-98805.2024,-99277.6978,-98876.1482,-99134.8199,-98768.0603,-99934.407,-99289.0286,-99096.8035,-98658.7432,-99010.8784,-98589.6009,-98273.742,-97766.4269,-98579.6406,-98109.0308,-103989.8149,-103734.1399
