"map.tr","map.ts","bma.tr","bma.ts","bay.tr","bay.ts","hc.tr","hc.ts","fast.iamb.tr","fast.iamb.ts","inter.iamb.tr","inter.iamb.ts","iamb.fdr.tr","iamb.fdr.ts","mmpc.tr","mmpc.ts","si.hiton.pc.tr","si.hiton.pc.ts","hpc.tr","hpc.ts","mmhc.tr","mmhc.ts","rsmax2.tr","rsmax2.ts","h2pc.tr","h2pc.ts","chow.liu.tr","chow.liu.ts","aracne.tr","aracne.ts"
-1384952.5151,-1390222.5211,-1389145.3653,-1389239.8711,-1390328.6966,-1390324.7086,-1385779.7301,-1389496.4898,-1392274.4434,-1393634.1552,-1392318.0071,-1393540.1521,-1392318.0071,-1393540.1521,-1392306.5871,-1393456.4933,-1392084.152,-1393323.3703,-1397605.0566,-1398726.4736,-1390153.9113,-1391725.1938,-1390185.8766,-1391927.7289,-1385826.1024,-1389421.1009,-1390913.0584,-1392266.0615,-1397339.0565,-1398396.2726
-1385379.5437,-1389508.2456,-1388282.5241,-1388266.8191,-1389590.4811,-1389604.9888,-1386111.6905,-1388813.2815,-1392437.7935,-1392852.4603,-1392494.9105,-1392676.9322,-1392494.9105,-1392676.9322,-1392273.817,-1392478.0752,-1392540.378,-1392791.2827,-1398072.2599,-1397727.285,-1390125.1975,-1390721.901,-1390318.1302,-1391021.1462,-1386127.4558,-1388663.2647,-1391296.2993,-1391548.4334,-1398016.9269,-1397686.6053
-1385711.8434,-1388854.93,-1387939.2365,-1387847.5538,-1388972.3755,-1388951.8812,-1386538.0141,-1388218.4291,-1392726.8257,-1392392.0486,-1392970.8607,-1392449.9532,-1392970.8607,-1392449.9532,-1392677.5364,-1392174.4995,-1392641.7896,-1392249.6091,-1398024.7836,-1397082.3597,-1390778.4965,-1390503.9322,-1391160.4625,-1390875.4794,-1386571.364,-1388030.5442,-1391574.0012,-1391054.8976,-1398079.2063,-1397003.9635
-1384805.6567,-1390489.0147,-1389374.8359,-1389424.6342,-1390577.2118,-1390585.7254,-1385645.0981,-1389684.8172,-1391694.9174,-1393808.5482,-1392076.998,-1394032.1965,-1392076.998,-1394032.1965,-1391708.3147,-1393675.9259,-1391589.0971,-1393584.2411,-1397544.0385,-1398655.0796,-1389820.3372,-1392199.5254,-1389908.5612,-1392459.5411,-1385615.6876,-1389844.2548,-1390715.7794,-1392675.1847,-1397235.9199,-1398301.5277
-1384927.0841,-1390388.134,-1389319.3361,-1389274.9045,-1390471.0104,-1390486.2235,-1385839.1192,-1389263.4069,-1392321.7085,-1393425.8972,-1392467.3287,-1393579.4824,-1392467.3287,-1393579.4824,-1392103.9841,-1393186.4626,-1392460.579,-1393468.2664,-1398085.2827,-1398799.4666,-1390097.0329,-1391541.6647,-1390495.0663,-1391835.542,-1385899.0985,-1389252.8515,-1390937.8663,-1392164.2051,-1397726.0993,-1398303.7225
