"map.tr","map.ts","bma.tr","bma.ts","bay.tr","bay.ts","hc.tr","hc.ts","fast.iamb.tr","fast.iamb.ts","inter.iamb.tr","inter.iamb.ts","iamb.fdr.tr","iamb.fdr.ts","mmpc.tr","mmpc.ts","si.hiton.pc.tr","si.hiton.pc.ts","hpc.tr","hpc.ts","mmhc.tr","mmhc.ts","rsmax2.tr","rsmax2.ts","h2pc.tr","h2pc.ts","chow.liu.tr","chow.liu.ts","aracne.tr","aracne.ts"
-16337.8934,-15969.9051,-16079.869,-16052.6445,-16410.0993,-16440.085,-23512.5928,-23393.1076,-30603.7995,-30710.168,-31176.0389,-31411.6776,-33624.5489,-33814.1178,-30170.9065,-30369.4291,-31208.4977,-31532.7443,-30940.4552,-31113.3987,-29766.369,-29879.1959,-29527.6713,-29679.1105,-30683.3705,-30811.5547,-27725.2781,-27897.6267,-46144.5162,-46537.4366
-16513.4432,-15783.6383,-15986.8418,-15991.1565,-16233.9813,-16226.6569,-23721.9533,-23253.6245,-31562.4484,-31205.6425,-32837.8692,-32442.044,-33006.8935,-32659.5989,-30216.8139,-29780.8966,-31568.067,-31242.5809,-30673.9362,-30331.5951,-29976.9605,-29471.6561,-30129.8749,-29601.4605,-29414.9731,-29006.013,-28016.3816,-27692.2886,-46685.4641,-46406.2875
-16588.2053,-16181.1009,-16235.5196,-16301.913,-16620.1473,-16611.5303,-23592.1493,-23580.4966,-32325.883,-32299.8286,-31407.7829,-31468.159,-33629.6868,-33669.6935,-31532.914,-31576.8551,-29599.0548,-29701.446,-30305.4019,-30401.4841,-29904.3598,-30017.0518,-29411.9573,-29525.9432,-30098.7224,-30160.7616,-27696.0165,-27917.6901,-44196.9985,-44479.7029
-16620.7068,-15885.7488,-16076.9433,-16080.5217,-16311.9173,-16306.551,-23804.1074,-23331.2845,-31821.1285,-31348.7771,-31713.3516,-31085.1732,-32966.5249,-32265.1503,-31531.5162,-30965.4672,-30544.0533,-30025.9669,-30539.3848,-30035.1176,-29695.5026,-29165.2468,-30198.915,-29643.9881,-29202.8852,-28714.3827,-28075.1316,-27716.5974,-47082.3522,-46398.7324
-16722.689,-15966.885,-16094.2749,-16145.1534,-16420.9109,-16434.5556,-23729.3082,-23458.3657,-31512.7729,-31640.9407,-31870.5308,-32080.764,-32184.4047,-32380.357,-33521.1985,-33577.9056,-33499.4333,-33511.1051,-30597.5007,-30625.7835,-30699.5458,-30625.8311,-30968.4433,-30993.5184,-29328.2783,-29465.2874,-27811.2035,-27639.4445,-44489.0141,-44718.8595
