"hc-tr","hc-ts","fast.iamb-tr","fast.iamb-ts","inter.iamb-tr","inter.iamb-ts","iamb.fdr-tr","iamb.fdr-ts","mmpc-tr","mmpc-ts","si.hiton.pc-tr","si.hiton.pc-ts","hpc-tr","hpc-ts","mmhc-tr","mmhc-ts","rsmax2-tr","rsmax2-ts","h2pc-tr","h2pc-ts","chow.liu-tr","chow.liu-ts","aracne-tr","aracne-ts"
-168131.186,-169450.2096,-398565.2098,-399858.3379,-332380.9535,-332581.8278,-332400.3351,-332584.5282,-303978.6032,-304119.6105,-404488.8221,-405616.0773,-280076.4078,-280800.3541,-243079.0637,-243188.6462,-335329.2204,-336078.8241,-198795.8219,-200011.854,-219015.8635,-218004.4306,-397754.0242,-398943.1214
-166036.1298,-170451.2128,-399016.1125,-399893.1588,-338542.9554,-339850.0044,-338542.9554,-339850.0044,-305044.8615,-306552.9194,-406642.9852,-407646.4933,-294425.8565,-296408.8281,-236744.4023,-238824.1641,-338009.6901,-339088.3553,-199821.8282,-202447.0623,-218119.2773,-219797.5046,-401129.5804,-401518.3741
-165774.5346,-171713.4173,-384914.049,-388086.2311,-335433.5071,-339423.6424,-335433.5071,-339423.6424,-316545.8596,-321262.2462,-403105.5377,-406677.9875,-262674.7948,-267485.1483,-243601.2331,-248781.1067,-331402.9997,-335157.9255,-202054.421,-207285.4335,-217174.3818,-221352.4821,-399073.5098,-402945.8919
-167089.4139,-171551.1383,-392590.8322,-393299.3093,-338091.4281,-339562.9878,-338091.4281,-339562.9878,-316973.2933,-318721.4523,-404563.3883,-404661.9754,-261531.5381,-264071.1797,-238287.3542,-241993.8401,-333761.6696,-335367.1994,-204984.2101,-209251.5872,-217645.7674,-220742.3757,-401869.5436,-402174.5679
-167566.8678,-169991.0597,-394960.5612,-395434.4072,-334150.4377,-334821.7258,-333694.9898,-334396.3887,-334180.2431,-335001.8103,-406670.1896,-406219.1392,-286134.9519,-286648.4016,-242793.8556,-242592.5053,-329484.468,-329156.5123,-202301.65,-203451.2863,-218576.294,-218792.922,-395240.8108,-394582.591
