"map.tr","map.ts","bma.tr","bma.ts","bay.tr","bay.ts","hc.tr","hc.ts","fast.iamb.tr","fast.iamb.ts","inter.iamb.tr","inter.iamb.ts","iamb.fdr.tr","iamb.fdr.ts","mmpc.tr","mmpc.ts","si.hiton.pc.tr","si.hiton.pc.ts","hpc.tr","hpc.ts","mmhc.tr","mmhc.ts","rsmax2.tr","rsmax2.ts","h2pc.tr","h2pc.ts","chow.liu.tr","chow.liu.ts","aracne.tr","aracne.ts"
-184147.5363,-190193.0617,-186122.8293,-186088.3556,-190257.5075,-190299.0386,-211727.9205,-210882.9759,-288555.2074,-284321.8721,-281992.6003,-278693.405,-283793.0042,-280438.0294,-272244.7295,-268671.1763,-289359.5293,-285066.6609,-270145.8245,-267055.4558,-253369.6375,-249597.2655,-277650.3194,-273112.6841,-227268.1858,-225916.247,-247889.6747,-244249.2461,-337488.3674,-333222.4487
-183667.2379,-192842.6528,-188527.4827,-188466.5118,-192423.1463,-192957.2277,-211645.5137,-213453.0071,-290829.3819,-290210.7364,-284369.6244,-284463.5371,-285537.0622,-285830.1758,-269950.6413,-270132.2268,-287174.2686,-286779.7025,-264610.9856,-265141.5951,-252219.8798,-252751.9253,-276429.0221,-276437.6625,-232851.6261,-234720.7894,-246762.6159,-246377.9914,-339835.3698,-339860.3086
-185062.9053,-196323.7956,-190600.0076,-190529.9036,-196214.3778,-196443.519,-210872.0858,-214140.6757,-290587.4747,-291977.1984,-285276.2614,-285831.2944,-283684.2382,-284488.1442,-269333.2589,-270550.4839,-290567.5339,-290942.4119,-260053.6118,-261793.9075,-251817.0159,-253381.1298,-276863.9956,-277853.703,-227691.4543,-231895.646,-246253.7245,-247218.2899,-335504.5103,-336043.6471
-184059.9048,-193231.0543,-188466.8487,-188611.5159,-193430.3761,-193340.7403,-211531.9053,-214055.4496,-289354.9606,-289647.1672,-281842.2771,-281733.5703,-281572.3704,-280972.3116,-276865.662,-277276.526,-293635.7007,-293579.8714,-269353.4748,-270169.2722,-254851.1112,-254894.8021,-276240.6674,-276321.972,-229008.312,-231355.3801,-246359.5907,-246956.7305,-335640.4903,-334795.6354
-181078.784,-191567.1716,-188657.9399,-188737.0081,-191788.9697,-191678.3416,-212420.9716,-214931.8198,-289743.431,-287599.8143,-289578.4368,-286900.9231,-287252.1765,-284839.6505,-271806.7085,-269507.3142,-289479.0811,-287305.7594,-264910.448,-263096.0097,-255535.1322,-254380.3518,-276149.4346,-274102.1145,-230355.2065,-232054.7047,-247001.6989,-245884.3325,-343237.2399,-339138.5379
