"map.tr","map.ts","bma.tr","bma.ts","bay.tr","bay.ts","hc.tr","hc.ts","fast.iamb.tr","fast.iamb.ts","inter.iamb.tr","inter.iamb.ts","iamb.fdr.tr","iamb.fdr.ts","mmpc.tr","mmpc.ts","si.hiton.pc.tr","si.hiton.pc.ts","hpc.tr","hpc.ts","mmhc.tr","mmhc.ts","rsmax2.tr","rsmax2.ts","h2pc.tr","h2pc.ts","chow.liu.tr","chow.liu.ts","aracne.tr","aracne.ts"
-36076.4758,-40491.2408,-39710.5295,-39679.585,-40922.6604,-40909.7961,-39992.577,-42766.905,-50803.9515,-51376.4998,-51544.2966,-52107.16,-52048.5804,-52589.1363,-58552.0683,-58881.3683,-47357.1134,-48019.9574,-47712.5297,-48721.435,-46396.2496,-47172.8736,-47685.0891,-48522.4999,-45726.7612,-47009.1468,-44233.9437,-45276.3458,-65312.6536,-65303.1971
-36131.6013,-40895.8465,-40058.9253,-40096.4434,-41346.0956,-41350.8295,-40114.1577,-43348.9008,-50311.2492,-51732.4439,-50140.2027,-51829.2377,-49328.6711,-50878.4266,-48609.2714,-50284.7499,-47786.7763,-49437.3484,-59717.3805,-60598.5093,-45383.4732,-47222.3486,-47445.8866,-48991.1318,-44753.3833,-46608.1058,-44133.3602,-45566.2769,-63932.3077,-64785.6508
-35885.3467,-40982.4098,-40225.9807,-40223.4445,-41461.0656,-41451.9198,-39828.8491,-43408.2675,-51661.2117,-55085.1065,-49245.8554,-52679.5771,-49357.0721,-52820.0174,-58663.5956,-61454.9231,-46854.927,-49599.1666,-61104.026,-63852.0962,-44872.9443,-48112.2062,-46351.4134,-49476.27,-43691.9283,-46939.8594,-43661.8106,-46320.3109,-63770.2257,-67274.3486
-36667.7891,-39594.1827,-38944.1918,-38897.4362,-39993.7306,-40013.1515,-40623.1318,-42133.4026,-51701.3473,-51379.6039,-50636.4838,-50221.3745,-51275.417,-50637.022,-57231.1496,-56881.6888,-47935.1449,-47697.543,-60245.5184,-59580.8975,-46296.2687,-46233.5419,-48439.6824,-47994.3185,-45781.0911,-45785.3611,-44620.9632,-44623.9166,-65375.2054,-64115.2483
-36193.2462,-40492.0685,-39721.028,-39696.434,-40962.3253,-40952.4517,-40156.0885,-42731.4955,-51204.9219,-52812.3445,-50127.6766,-51879.4091,-50959.9744,-52702.4537,-59424.3253,-60913.9986,-56486.7369,-58047.6376,-58579.7331,-59760.6577,-45877.1979,-47587.9102,-48514.2756,-49877.9605,-45252.1825,-47143.1652,-44182.068,-45408.7245,-65108.3212,-66578.7369
